PART#,TX,PRICE
3310446,5,56.72
3310447,0,47.81
3310448,0,21.97
3310449,5,51.58
3310450,6,37.55
3310451,5,87.87
3310452,4,49.69
3310453,4,50.68
3310454,0,18.62
3310455,0,19.75
3310456,0,18.09
3310457,0,36.89
3310458,3,21.87
3310459,0,73.22
3310460,0,26.95
3310461,8,14.91
3310462,0,78.64
3310463,0,72.07
3310466,0,72.87
3310467,0,66.92
3310468,0,28.41
3310469,0,57.82
3310512,2,25.79
3310519,0,67.54
3310547,1,99.65
3310549,2,23.06
3310550,0,48.85
3310551,2,37.39
3310552,0,53.92
3310553,3,32.68
3310554,0,35.74
3310555,6,38.63
3310556,0,25.22
3310557,0,27
3310558,0,31.19
3310559,0,28.14
3310560,0,47.72
3310561,0,30.18
3310562,0,33.72
3310563,1,24.95
3310564,8,37.15
3310565,5,35.47
3310566,0,52.98
3310567,3,38.45
3310568,4,29.25
3310569,1,47.05
3310570,5,45.63
3310571,6,29.46
3310572,0,38.6
3310573,0,44.79
3310574,1,28.93
3310575,6,32.85
3310576,2,24.75
3310577,0,38.72
3310578,0,37.49
3310579,0,44.21
3310581,2,24.67
3310582,0,36.09
3310583,1,26.21
3310584,0,25.53
3310585,0,35.93
3310586,3,42.61
3310587,1,27.16
3310588,0,27.24
3310594,0,133.96
3310603,6,24.78
3310604,0,41.16
3310605,5,71.8
3310606,4,24.36
3310607,0,24.37
3310608,0,16.25
3310609,7,48.42
3310610,0,24.2
3310611,4,52.68
3310619,0,131.54
3310625,0,30.42
3310632,2,78.91
3310633,0,91.54
3310639,6,122.62
3310640,1,153.03
3310641,1,22.42
3310643,7,111.99
3310645,3,65.19
3310647,0,22.06
3310648,2,13.37
3310649,0,44.17
3310651,0,27.06
3310652,1,30.29
3310653,9,30.53
3310654,1,32.64
3310655,4,34.45
3310656,0,36.81
3310657,2,105.48
3310659,0,42.88
3310660,3,86.6
3310661,0,26.62
3310662,5,81.87
3310664,0,#N/A
3310666,0,104.88
3310671,0,71.12
3310673,0,95.08
3310675,0,24.85
3310676,0,76.87
3310678,3,75.78
3310679,0,44.2
3310681,0,24.01
3310682,0,125.8
3310684,0,71.76
3310685,2,21.44
3310686,0,125.63
3310687,0,84.85
3310688,0,125.09
3310692,0,82.43
3310693,0,34.81
3310694,2,26.27
3310695,0,28.52
3310696,6,101.39
3310697,0,18.94
3310701,6,33.76
3310702,0,24.29
3310713,6,33.38
3310714,0,13.47
3310721,0,28.47
3310724,0,81.04
3310725,1,28.88
3310726,0,32.88
3310727,2,123.31
3310728,2,86.21
3310729,0,31.85
3310730,2,88.45
3310733,0,34.05
3310734,1,98.09
3310735,1,17.18
3310736,3,139.24
3310738,2,123.38
3310739,2,26.62
3310740,3,142.22
3310744,0,24.57
3310745,0,25.42
3310751,1,74.58
3310753,0,25.89
3310754,0,38.18
3310757,0,147.62
3310758,1,69.45
3310760,0,138.2
3310761,0,21.26
3310762,0,90.96
3310763,2,136.46
3310764,0,108.33
3310766,0,25.56
3310767,0,52.07
3360001,5,1.99
3410003,0,19.67
3410004,0,12.86
3410005,0,31.17
3410009,0,17.59
3410013,0,17.83
3410016,0,12.53
3410023,0,39.09
3410026,0,52.13
3410027,0,20.83
3410029,0,11.19
3410030,0,28.72
3410032,0,19.32
3410034,0,14.08
3410035,0,17.57
3410036,0,65.16
3410037,0,34.59
3410038,0,52.13
3410039,0,21.31
3410040,0,29.07
3410041,0,27.37
3410042,0,23.32
3410043,0,19.55
3410044,0,13.67
3410045,0,13.66
3410046,0,61.05
3410047,0,68.42
3410048,0,28.58
3410049,0,26.35
3410050,0,26.56
3410051,0,19.98
3410052,0,25.99
3410053,0,28.83
3410054,0,52.63
3410055,0,32.58
3410056,0,31.21
3410057,0,45.12
3410058,0,38.09
3410059,0,40
3410060,0,27.46
3410061,0,17.56
3410062,0,46.95
3410063,0,23.21
3410064,0,31.92
3410065,0,25.67
3410066,0,30.88
3410067,0,16.17
3410068,0,25.13
3410069,0,16.04
3410070,0,26.24
3410071,0,28.57
3410072,0,24.53
3410073,0,29.59
3410074,0,38.45
3410075,0,36.85
3410076,0,22.08
3410077,0,44.21
3410078,0,13.52
3410079,0,14.91
3410080,0,25.26
3410081,0,17.96
3410082,0,16.84
3410084,0,12.87
3410085,0,21.31
3410086,0,15.14
3410087,0,32.97
3410088,0,20.53
3410089,0,15.14
3410090,0,32.97
3410091,0,16.58
3410092,0,17.45
3410093,0,31.58
3410094,0,21.05
3410095,0,17.04
3410096,0,31.58
3410097,0,38.01
3410098,0,15.79
3410099,0,43.95
3410100,0,52.4
3410101,0,41.05
3410102,0,21.99
3410106,0,38.26
3410110,0,50.89
3410117,0,49.62
3410119,0,104.21
3410120,0,29.07
3410123,0,61.05
3410126,0,15.26
3410138,0,26.06
3410148,0,44.72
3410156,0,32.92
3410160,0,18.16
3410161,0,82.11
3410162,0,27.46
3410163,0,28.43
3410164,0,22.44
3410165,0,16.71
3410168,0,15.04
3410169,0,22.45
3410170,0,27.6
3410171,0,45.12
3410173,0,14.74
3410175,0,50.92
3410192,0,39.09
3410193,0,40.11
3410194,0,26.16
3410197,0,61.34
3410207,0,40.42
3410209,0,30.53
3410210,0,48.93
3410211,0,19.75
3410213,0,40.2
3410214,0,25.35
3410217,0,19.73
3410218,0,31.58
3410219,0,20.23
3410237,0,59.07
3410238,0,19.82
3410239,0,18.2
3410240,0,19.64
3410242,0,41.58
3410246,0,30.07
3410252,0,20.21
3410257,0,26.38
3410263,0,11.47
3410271,0,51.22
3410272,0,44.43
3410273,0,44.43
3410277,0,17.69
3410294,0,19.76
3410297,0,28.16
3410298,0,30.07
3410299,0,#N/A
3410300,0,20.79
3410307,0,31.58
3410309,0,26.14
3410310,0,19.56
3410311,0,31.58
3410312,0,45
3410313,0,45
3410314,0,50.05
3410315,0,47.72
3410316,0,39.26
3410317,0,33.89
3410318,0,37.05
3410319,0,45.15
3410321,0,21.95
3410322,0,24.18
3410323,0,55.65
3410324,0,29.31
3410325,0,16.62
3410326,0,15.96
3410327,0,53.8
3410328,0,17.06
3410329,0,43.79
3410330,0,15.96
3410331,0,15.96
3410332,0,14.46
3410334,0,22.01
3410335,0,32.57
3410336,0,21.09
3410337,0,39.79
3410338,0,16.68
3410339,0,20.53
3410340,0,24.58
3410341,0,16.73
3410342,0,52.15
3410347,0,50.72
3410348,0,50.03
3410350,0,45.66
3410351,0,41.91
3410352,0,22.8
3410353,0,29.94
3410354,0,24.69
3410355,0,25.88
3410357,0,18.78
3410360,0,26.95
3410362,2,83.21
3410363,0,49.91
3410366,0,31.13
3410367,0,21.63
3410368,0,31.93
3410369,0,65.94
3410371,0,32.93
3410372,0,53.73
3410373,0,63.78
3410374,0,63.78
3410375,0,38.91
3410376,0,52.13
3410377,0,150.53
3410378,0,84.61
3410381,0,36.98
3410382,0,26.68
3410383,0,45.54
3410384,0,41.58
3410385,0,30.09
3410386,0,41.58
3410387,0,45.54
3410389,0,104.11
3410390,0,60.06
3410391,0,101.65
3410392,0,60.06
3410393,0,150.53
3410394,0,41.05
3410395,0,54.74
3410396,0,31.41
3410397,0,85.21
3410398,0,36.84
3410399,0,49.53
3410400,0,54.74
3410401,0,68.42
3410402,0,65.78
3410403,0,43.03
3410404,0,88.39
3410405,0,74.73
3410406,0,57.17
3410407,0,105.26
3410409,0,94.74
3410410,0,61.05
3410412,0,85.21
3410413,0,95.24
3410414,0,35.56
3410415,0,40.12
3410417,0,45.12
3410418,0,27.6
3410419,0,32.97
3410420,0,60.06
3410422,0,37.45
3410423,0,114.74
3410424,0,60.06
3410425,0,53.09
3410426,0,44.88
3410427,0,39.6
3410429,0,60.06
3410430,0,24.74
3410431,0,57.18
3410432,0,45.54
3410433,0,28.46
3410434,0,29.62
3410435,0,34.98
3410437,0,25.75
3410438,0,58.69
3410439,0,27.84
3410440,0,61.06
3410441,0,51.64
3410443,0,25.63
3410444,0,26.51
3410445,1,24.89
3410446,0,28.23
3410447,0,25.28
3410449,0,22.49
3410450,0,27.82
3410451,0,65.68
3410452,0,49.49
3410453,0,27.81
3410454,0,22.13
3410455,0,28.05
3410456,0,75.17
3410457,0,43.63
3410458,0,68.42
3410459,0,71.29
3410460,0,60.06
3410461,0,42.18
3410462,0,49.81
3410463,0,24.56
3410465,0,73.94
3410466,0,64.74
3410467,0,29.84
3410468,0,28.05
3410469,0,69.58
3410470,0,20.14
3410471,0,82.64
3410472,0,47
3410473,0,20.16
3410474,0,51.03
3410475,0,17.37
3410476,0,29.27
3410477,0,45.93
3410479,0,18.2
3410480,0,63.82
3410481,0,18.81
3410482,0,35.94
3410483,0,24.53
3410484,0,20.55
3410485,0,15.24
3410486,0,52.37
3410491,0,35.14
3410492,0,94.05
3410493,0,28.08
3410494,0,44.83
3410495,0,43.37
3410496,0,25.41
3410497,0,24.53
3410498,0,58.42
3410499,0,52.55
3410500,0,60.89
3410501,0,52.85
3410502,0,25.89
3410503,0,56.91
3410504,4,66.69
3410505,0,38.65
3410506,0,18.24
3410507,0,19.07
3410508,0,48.2
3410509,0,29.88
3410510,0,44.86
3410511,0,17.54
3410512,0,57.2
3410513,0,36.65
3410514,0,14.85
3410515,0,41.03
3410516,2,69.47
3410517,0,27.03
3410518,0,30.49
3410519,0,45.88
3410520,0,24.91
3410521,0,28.95
3410522,0,40.85
3410523,0,27.93
3410524,0,70.07
3410525,0,27.16
3410526,0,52.71
3410527,0,29.11
3410528,0,42.16
3410529,0,43.37
3410530,0,41.07
3410531,0,44.46
3410532,0,25.41
3410533,0,60.06
3410534,0,25.95
3410535,0,59.26
3410536,0,33.66
3410537,0,43.37
3410538,0,33.66
3410539,0,53.52
3410541,0,27.05
3410542,0,22.59
3410543,0,39.32
3410544,0,27.96
3410545,0,20.79
3410546,0,30.21
3410547,0,17.36
3410548,0,36.14
3410549,0,32.33
3410550,0,27.61
3410551,0,27.84
3410552,0,34.08
3410553,0,31.59
3410554,0,28.38
3410555,0,34.14
3410556,0,29.69
3410557,2,36.82
3410558,0,31.07
3410559,0,41.85
3410561,0,40.14
3410562,0,28.38
3410563,0,21.43
3410564,0,29.64
3410565,0,20.16
3410566,0,30.49
3410567,0,41.8
3410568,0,29.04
3410569,0,24.82
3410570,0,25.75
3410572,0,37.75
3410573,0,32.93
3410574,0,44.08
3410575,0,37.57
3410576,0,25.24
3410577,0,58.28
3410578,0,26.52
3410579,0,26.94
3410580,0,68.2
3410581,0,47.16
3410582,0,41.85
3410583,0,45.12
3410584,0,25.08
3410585,0,46.53
3410586,0,59.37
3410587,0,68.13
3410588,0,34.74
3410589,0,67.04
3410590,0,65.01
3410592,0,45.12
3410593,0,60.15
3410594,0,23.33
3410595,0,41.05
3410596,0,60.69
3410600,0,21.89
3410601,0,21.89
3410602,0,78.95
3410603,0,32.84
3410604,0,42.11
3410605,0,75.19
3410606,0,68.42
3410607,0,41.58
3410608,0,42.11
3410609,0,42.11
3410610,0,23.58
3410611,0,36.49
3410612,0,40.11
3410613,0,43.18
3410614,0,27.93
3410615,0,45.54
3410616,0,73.68
3410617,0,52.63
3410618,0,94.05
3410619,0,52.32
3410620,0,42.11
3410621,0,40.11
3410623,0,75.19
4010001,0,51.78
4010002,0,39.72
4010004,0,52.17
4010005,0,76.06
4010006,0,80.98
4010007,10,52.62
4010008,0,33.84
4010009,0,47.28
4010010,4,53.03
4010011,13,57.06
4010012,0,45.77
4010013,0,48.04
4010014,13,51.93
4010015,2,64.57
4010016,6,19.48
4010017,0,52.17
4010019,5,23.32
4010020,0,41.56
4010021,2,85.4
4010022,5,35.19
4010023,11,77.98
4010024,13,82.45
4010025,5,50.35
4010026,0,40.55
4010027,0,74.17
4010028,5,15.22
4010029,0,54.11
