PART#,CROSS,NV,TX,PA,FL,PRICE
14-0012NC,,0,0,0,0,234.73
14-0013C,,0,0,0,0,238.91
14-0013NC,,0,0,0,0,205
14-0014C,,0,0,0,0,176.5
14-0014N,,0,0,0,0,212
14-0014NC,,374,6,0,0,296.15
14-0014NEW,,204,1,1,2,169.31
14-0014NIP,,31,6,0,5,235.73
14-0014RC,,2,0,0,0,121.06
14-0015C,,0,0,0,0,122.8
14-0015N,,0,0,0,0,212
14-0015NC,,0,0,0,0,149.99
14-0015NEW,,195,4,0,3,161.58
14-0015NIP,,5,2,0,1,254.05
14-0015RC,,0,0,0,0,108.16
14-0016C,,0,0,0,0,180.14
14-0016N,,0,0,0,0,212
14-0016NC,,0,0,0,0,142.59
14-0016NEW,,0,0,0,0,220
14-0016NIP,,0,0,0,0,234.73
14-0017C,,1,0,0,8,120.01
14-0017NC,,3,0,0,3,173.51
14-0017NEW,,5,1,0,0,115.77
14-0017NIP,,0,0,0,0,232.82
14-0018C,,0,0,0,1,110.09
14-0018FD,,0,0,0,0,232.68
14-0018NC,,0,0,0,0,197.92
14-0018NEW,,33,8,0,24,117.76
14-0018NIP,,0,0,0,0,151.33
14-0019C,,0,0,0,0,123.25
14-0019NC,,0,0,0,0,203.5
14-0019NEW,,18,3,0,5,124.92
14-0020C,,0,0,0,0,180.03
14-0020NC,,0,0,0,0,252.33
14-0020NEW,,20,0,0,0,182.59
14-0020RC,,1,0,0,0,203.75
14-0021C,,1,0,0,0,189.17
14-0021NC,,1,0,0,1,252.33
14-0022C,,0,0,0,1,132.01
14-0022NC,,0,0,0,0,231.7
14-0022NEW,,129,9,0,2,150.58
14-0022NIP,,1,2,0,1,211.39
14-0022RC,,0,0,0,0,112.72
14-0023C,,0,0,0,0,120.01
14-0023N,,4,0,0,0,212
14-0023NC,,2,1,0,2,175.46
14-0023NEW,,179,8,0,17,149.71
14-0023NIP,,0,0,0,0,234.73
14-0023RC,,14,0,0,0,95.57
14-0024C,,0,0,0,0,111.64
14-0024FD,,0,0,0,0,208.44
14-0024N,,0,0,0,0,212
14-0024NC,,0,0,0,0,234.73
14-0024NEW,,89,9,0,2,171.99
14-0024NIP,,0,0,0,0,234.73
14-0024RC,,0,0,0,0,71.28
14-0025C,,0,0,0,1,139.69
14-0025FD,,0,0,0,0,562.18
14-0025N,,0,0,0,0,318
14-0025NC,,0,0,0,0,409.64
14-0025NEW,,123,11,0,17,177.56
14-0025NIP,,0,0,0,0,362.91
14-0025RC,,12,0,0,0,110.46
14-0026C,,0,0,0,0,97.75
14-0026NC,,0,0,0,0,308.88
14-0026NEW,,19,12,0,0,178.52
14-0027C,,0,0,0,1,174.17
14-0027NC,,0,0,0,0,285.94
14-0027NEW,,43,0,0,1,230.64
14-0027NIP,,0,0,0,0,325.59
14-0027RC,,2,0,0,0,203.75
14-0028C,,0,0,0,0,143.31
14-0028NC,,0,0,0,0,148.57
14-0028NEW,,0,0,0,0,218.14
14-0028NIP,,0,0,0,0,296.27
14-0029C,,0,0,0,0,131.45
14-0029NC,,0,0,0,0,276.9
14-0029NEW,,214,12,0,8,152.38
14-0029NIP,,0,3,0,5,277.82
14-0029RC,,4,0,0,0,116.27
14-0030C,,0,0,0,0,200.64
14-0031C,,2,0,0,1,128.8
14-0031NC,,0,0,0,0,303.72
14-0031NEW,,1,0,0,0,206.85
14-0032C,,0,0,0,0,120.01
14-0032NC,,0,0,0,0,221.18
14-0032NEW,,14,6,0,0,244.94
14-0032NIP,,0,0,0,0,221.18
14-0032RC,,1,0,0,0,203.75
14-0033C,,0,0,0,0,229.3
14-0033NC,,0,0,0,0,221.18
14-0033NEW,,0,0,0,0,404.28
14-0034C,,0,0,0,1,128.8
14-0034NC,,0,1,0,0,220.16
14-0034NEW,,23,1,0,2,145.32
14-0034NIP,,27,4,0,1,219.91
14-0035C,,0,0,0,0,126.32
14-0035GM,,0,0,0,0,234.73
14-0035N,,0,0,0,0,212
14-0035NC,,0,0,0,0,309.9
14-0035NEW,,128,6,0,1,161.8
14-0035NIP,,0,0,0,1,277.81
14-0035RC,,1,0,0,0,92.92
14-0036C,,6,0,0,0,200.64
14-0036NC,,0,0,0,0,252.78
14-0036NEW,,24,0,0,0,211.8
14-0037C,,0,0,0,0,173.17
14-0037N,,0,0,0,0,120.95
14-0037NC,,0,0,0,0,280.54
14-0037NEW,,0,1,0,0,284.62
14-0038C,,0,0,0,0,171.97
14-0038NC,,0,0,0,0,264.96
14-0038NEW,,23,0,26,1,182.78
14-0038RC,,2,0,0,0,203.75
14-0039C,,0,0,0,1,117.09
14-0039NC,,0,0,0,0,237.08
14-0039NEW,,0,0,0,0,170.24
14-0039NIP,,5,0,0,3,338
14-0039RC,,1,0,0,0,120.75
14-0040C,,1,0,0,0,107.25
14-0040D,,0,0,0,0,205
14-0040MPR,,0,0,0,2,248.93
14-0040N,,0,0,0,0,138.26
14-0040NC,,0,0,0,0,251.85
14-0040NC-S17,,0,0,0,0,212
14-0040NEW,,679,95,0,81,109.33
14-0040NIP,,0,0,0,4,203.86
14-0040RC,,2,0,0,0,128.2
14-0041C,,0,0,0,3,120.01
14-0041D,,0,0,0,0,132.92
14-0041NC,,10,1,0,0,237.64
14-0041NEW,,247,35,0,41,151.33
14-0041NIP,,251,0,0,0,234.73
14-0041RC,,18,0,0,0,115.55
14-0041S,,0,0,0,0,143.31
14-0042C,,0,0,0,0,210.17
14-0042NC,,0,0,0,0,234.73
